ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
"Doutor Ricardo",4306759,-29.084000000000,-51.997100000000,3.849,4.542,5.157,5.611,6.624,7.831,7.436,8.740,11.326,12.019,12.919,16.752,19.704
"Eldorado do Sul",4306767,-30.084700000000,-51.618699999990,11.822,14.062,14.088,14.153,17.390,20.188,19.528,21.863,17.271,16.772,19.850,22.050,21.360
Encantado,4306809,-29.235099999990,-51.870300000000,8.914,9.837,10.809,12.860,13.530,13.504,13.885,14.831,17.308,18.049,20.260,23.875,24.497
"Encruzilhada do Sul",4306908,-30.542999999990,-52.520400000000,3.501,3.703,4.587,5.047,5.981,6.136,6.221,6.850,7.745,8.140,8.678,10.378,11.093
"Engenho Velho",4306924,-27.706000000000,-52.914499999990,4.532,5.008,6.240,7.118,9.903,9.050,7.542,11.487,13.471,16.470,16.637,19.036,20.029
"Entre Rios do Sul",4306957,-27.529800000000,-52.734699999990,8.025,9.066,12.574,9.921,13.717,14.976,15.614,21.845,27.979,23.498,38.243,30.454,35.103
Entre-ijuís,4306932,-28.368600000000,-54.268599999990,4.234,4.753,6.436,6.623,10.499,8.682,7.228,9.423,13.655,15.080,11.665,17.799,21.298
Erebango,4306973,-27.854399999990,-52.300500000000,5.921,6.411,8.161,7.846,11.859,11.136,7.911,12.018,15.162,16.454,14.020,15.470,20.925
Erechim,4307005,-27.636399999990,-52.269700000000,7.868,8.491,9.783,9.801,12.473,12.734,13.262,14.046,18.213,19.487,21.504,25.386,27.911
Ernestina,4307054,-28.497699999990,-52.583599999990,5.614,6.042,8.557,9.223,15.562,11.766,7.961,13.780,19.184,19.618,19.763,20.970,24.528
"Erval Grande",4307203,-27.392600000000,-52.573999999990,3.093,3.511,4.115,4.281,6.996,6.464,6.713,8.336,9.218,10.352,9.997,12.940,15.175
"Erval Seco",4307302,-27.544300000000,-53.500500000000,3.321,3.900,4.760,4.934,9.495,6.570,6.179,7.800,10.298,10.999,11.381,15.289,17.485
Esmeralda,4307401,-28.051800000000,-51.193300000000,4.429,5.549,9.433,9.580,17.105,14.374,9.942,16.404,20.348,19.947,18.059,26.614,29.019
"Esperança do Sul",4307450,-27.360299999990,-53.989100000000,2.848,3.776,4.739,5.400,7.416,6.885,6.748,7.922,9.872,9.825,9.985,13.489,16.475
Espumoso,4307500,-28.728600000000,-52.846100000000,5.443,5.482,7.451,8.424,12.072,10.929,8.781,11.847,14.675,16.464,18.503,19.101,22.660
Estação,4307559,-27.913499999990,-52.263500000000,7.646,7.859,8.223,9.163,12.544,13.690,12.654,13.858,16.478,16.023,16.963,19.550,24.228
"Estância Velha",4307609,-29.653500000000,-51.184300000000,8.177,8.927,9.788,11.210,12.584,12.696,12.291,12.214,12.173,13.631,14.179,19.004,18.099
Esteio,4307708,-29.852000000000,-51.184100000000,10.686,11.812,12.532,14.339,16.200,16.655,17.737,19.315,23.489,25.533,28.496,31.788,30.006
Estrela,4307807,-29.501600000000,-51.960500000000,9.851,10.147,9.520,14.406,13.957,14.170,14.377,14.759,17.591,18.885,22.418,31.209,33.230
"Estrela Velha",4307815,-29.171299999990,-53.163899999990,5.371,5.633,7.671,8.423,12.497,9.618,8.363,13.129,16.190,18.703,20.193,20.156,22.847
"Eugênio de Castro",4307831,-28.531500000000,-54.150599999990,5.063,5.465,8.177,7.741,13.592,10.051,7.307,12.901,20.757,25.309,26.408,30.423,36.777
"Fagundes Varela",4307864,-28.879400000000,-51.701400000000,4.859,5.316,6.442,8.150,10.173,10.525,11.043,12.864,14.857,19.376,20.406,26.506,31.531
Farroupilha,4307906,-29.222700000000,-51.341900000000,10.389,12.200,12.461,13.942,15.587,17.205,17.651,18.154,20.061,19.069,21.570,25.860,27.555
"Faxinal do Soturno",4308003,-29.578800000000,-53.448399999990,5.167,5.625,5.975,7.341,8.639,9.046,9.064,10.229,12.300,12.823,14.802,18.601,27.493
Faxinalzinho,4308052,-27.423800000000,-52.678899999990,3.264,4.061,4.739,4.543,13.149,6.613,5.482,7.561,10.422,12.796,10.699,11.535,14.431
"Fazenda Vilanova",4308078,-29.588500000000,-51.821700000000,3.531,6.574,5.500,24.126,13.752,18.893,20.738,20.817,28.989,29.904,47.204,40.246,34.181
Feliz,4308102,-29.452700000000,-51.303199999990,7.328,6.726,7.139,7.997,8.885,9.457,10.455,11.311,13.674,13.757,15.480,19.106,20.177
"Flores da Cunha",4308201,-29.026199999990,-51.187500000000,10.248,10.489,11.346,12.725,13.641,14.462,15.022,15.715,18.047,16.741,19.839,24.007,27.363
"Floriano Peixoto",4308250,-27.861400000000,-52.083799999990,3.878,4.757,5.448,5.484,8.866,8.205,6.477,9.525,12.564,14.730,13.629,16.014,18.568
"Fontoura Xavier",4308300,-28.981600000000,-52.344499999990,2.935,3.311,3.926,4.354,4.834,4.973,5.858,6.802,7.317,8.275,9.130,10.711,12.523
