"Município","ibge","latitude","longitude","/Transportes/Número de Acidentes Fatais/Total 2007 (-)","/Transportes/Número de Acidentes Fatais/Total 2008 (-)","/Transportes/Número de Acidentes Fatais/Total 2009 (-)","/Transportes/Número de Acidentes Fatais/Total 2010 (-)","/Transportes/Número de Acidentes Fatais/Total 2011 (-)","/Transportes/Número de Acidentes Fatais/Total 2012 (-)","/Transportes/Número de Acidentes Fatais/Total 2013 (-)"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","-","1","3","1","-","3","1"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","36","32","33","19","35","37","32"
"Paverama","4314159","-29.548500000000","-51.733899999990","-","-","3","1","-","1","2"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","-","-","-","-","-","1","-"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","1","4","5","1","1","6","4"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","1","3","2","-","2","-","1"
"Pelotas","4314407","-31.764900000000","-52.337100000000","60","55","53","61","51","64","48"
"Picada Café","4314423","-29.446400000000","-51.136699999990","3","3","2","1","1","3","2"
"Pinhal","4314456","-27.507999999990","-53.208199999990","1","1","-","1","2","2","-"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","-","-","-","-","-","-","1"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","-","1","-","-","1","2","1"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","-","1","-","-","-","3","1"
"Pirapó","4314555","-28.043900000000","-55.200099999990","-","-","-","-","-","1","-"
"Piratini","4314605","-31.447299999990","-53.097299999990","4","3","1","3","-","3","2"
"Planalto","4314704","-27.329699999990","-53.057500000000","1","-","1","2","3","1","3"
"Poço das Antas","4314753","-29.448100000000","-51.671900000000","-","-","-","1","-","1","-"
"Pontão","4314779","-28.058499999990","-52.679099999990","1","2","1","2","-","2","2"
"Portão","4314803","-29.701499999990","-51.242899999990","4","5","2","3","11","8","10"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","158","169","188","147","154","116","133"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","-","1","1","2","1","2","1"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","-","-","1","1","-","1","-"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","-","-","-","-","1","-","-"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","-","1","-","1","4","-","1"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","1","2","2","4","4","3","4"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","-","1","1","1","1","2","2"
"Progresso","4315156","-29.244199999990","-52.319699999990","-","-","1","1","-","-","3"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","-","-","-","-","-","-","1"
"Putinga","4315206","-29.004500000000","-52.156900000000","-","1","1","-","-","2","-"
"Quaraí","4315305","-30.384000000000","-56.448300000000","2","2","-","1","7","2","3"
"Quatro Irmãos","4315313","-27.816299999990","-52.441899999990","-","-","-","-","1","-","-"
"Quevedos","4315321","-29.350400000000","-54.078899999990","1","-","-","-","-","-","-"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","-","-","1","2","-","-","-"
"Redentora","4315404","-27.664000000000","-53.640700000000","-","1","-","3","2","1","-"
"Relvado","4315453","-29.116399999990","-52.077800000000","-","-","-","1","-","-","-"
"Restinga Seca","4315503","-29.818800000000","-53.380699999990","3","3","6","6","7","5","4"
"Rio dos Índios","4315552","-27.297300000000","-52.841700000000","-","-","-","1","-","-","-"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","24","37","42","34","29","35","45"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","4","4","5","6","6","10","8"
"Riozinho","4315750","-29.638999999990","-50.448799999990","-","-","-","-","3","-","-"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","-","1","5","5","-","-","-"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","-","-","2","-","-","-","-"
"Rolante","4316006","-29.646200000000","-50.581899999990","2","7","1","3","4","2","9"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","4","1","1","5","1","4","2"
"Rondinha","4316204","-27.831499999990","-52.908099999990","1","1","1","3","1","-","3"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","2","4","-","7","2","1","6"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","4","5","5","10","7","9","6"
"Sagrada Família","4316428","-27.708500000000","-53.135100000000","-","-","-","1","1","1","3"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","1","-","-","-","-","-","1"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","1","2","4","1","1","2","1"
"Salvador das Missões","4316477","-28.123300000000","-54.837299999990","-","1","-","-","1","2","-"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","1","1","1","3","1","2","-"
"Sananduva","4316600","-27.946999999990","-51.807899999990","5","3","1","5","4","3","3"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","2","2","-","1","3","1","4"
"Santa Cecília do Sul","4316733","-28.153700000000","-51.929600000000","-","-","1","-","1","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","-","1","-","1","1","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","29","16","19","25","21","21","24"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","1","-","1","-","3","-","-"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","29","42","39","45","46","33","26"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","-","1","-","-","-","-","-"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","14","8","11","17","10","12","11"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","7","6","5","8","7","8","7"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","4","-","1","2","6","3","3"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","7","7","10","9","9","13","8"
"Santiago","4317400","-29.189699999990","-54.866599999990","4","5","3","6","9","7","4"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","10","5","10","12","11","11","9"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","7","13","14","14","10","14","16"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","-","1","3","1","-","1","1"
"Santo Antônio do Palma","4317558","-28.495600000000","-52.026699999990","-","-","-","-","-","1","-"
"Santo Antônio do Planalto","4317756","-28.403099999990","-52.699199999990","-","-","1","-","1","1","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","4","2","3","3","2","-","6"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","2","4","1","5","5","1","1"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","-","-","-","-","-","-","1"
"São Borja","4318002","-28.657800000000","-56.003599999990","6","8","13","10","18","8","9"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","1","-","-","1","-","-","-"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","2","2","1","-","-","1","4"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","7","10","7","10","6","10","8"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","10","8","4","12","3","5","4"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","5","4","4","6","4","6","6"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","-","1","1","-","1","2","2"
"São João do Polêsine","4318432","-29.619399999990","-53.443899999990","-","1","1","-","-","2","1"
"São José das Missões","4318457","-27.778900000000","-53.122599999990","1","-","1","2","-","-","1"
"São José do Herval","4318465","-29.052000000000","-52.295000000000","2","-","1","4","2","1","1"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","2","-","-","-","1","-","-"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","-","-","-","2","-","-","-"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","3","3","1","5","9","4","3"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","1","1","1","-","3","-","1"
"São José do Sul","4318614","-29.529000000000","-51.487099999990","1","-","-","1","-","-","1"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","-","1","1","2","-","-","-"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","40","31","37","39","29","30","28"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","4","4","14","6","9","5","7"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","5","10","7","12","15","7","8"
"São Marcos","4319000","-28.967700000000","-51.069600000000","1","1","5","2","3","1","2"
"São Martinho","4319109","-27.711200000000","-53.969900000000","1","2","4","1","2","-","3"
"São Miguel das Missões","4319158","-28.556000000000","-54.555900000000","1","1","-","2","1","1","1"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","-","1","1","2","2","-","-"
"São Paulo das Missões","4319307","-28.019500000000","-54.940399999990","-","-","1","-","1","-","-"
"São Pedro da Serra","4319356","-29.419300000000","-51.513399999990","-","1","1","-","-","-","1"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","-","-","-","2","1","-","-"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","2","4","5","6","2","3","1"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","3","8","9","8","7","9","8"
"São Sepé","4319604","-30.164300000000","-53.560299999990","5","7","2","6","4","2","2"
"São Valentim","4319703","-27.558299999990","-52.523699999990","-","-","1","-","1","-","2"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","3","1","-","-","-","-","-"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","2","1","2","-","1","1","1"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","3","-","1","5","5","1","3"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","16","12","8","9","5","16","16"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","29","22","20","21","26","16","22"
"Sarandi","4320107","-27.942000000000","-52.923099999990","3","6","6","6","9","5","10"
"Seberi","4320206","-27.482900000000","-53.402600000000","-","3","2","6","5","6","7"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","-","-","-","-","1","-","-"
"Segredo","4320263","-29.352300000000","-52.976700000000","-","-","1","1","1","1","1"
"Selbach","4320305","-28.629400000000","-52.949800000000","3","-","1","-","2","4","1"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","1","1","-","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","-","1","1","-","1","2","-"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","2","4","2","-","1","3","2"
"Sério","4320453","-29.390400000000","-52.268500000000","-","-","-","1","-","-","-"
"Sertão","4320503","-27.979800000000","-52.258800000000","1","3","4","1","1","-","2"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","1","-","-","-","1","1","-"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","1","-","-","-","-","1","-"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","-","-","1","-","2","-","1"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","1","1","2","-","1","-","4"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","2","2","2","6","4","4","3"
"Soledade","4320800","-28.830600000000","-52.513100000000","4","7","4","9","7","11","5"
"Tabaí","4320859","-29.643000000000","-51.682299999990","3","4","4","5","-","5","4"
"Tapejara","4320909","-28.065200000000","-52.009700000000","2","3","3","8","1","3","4"
"Tapera","4321006","-28.627700000000","-52.861199999990","4","3","3","4","1","3","2"
"Tapes","4321105","-30.668299999990","-51.399099999990","7","4","5","4","11","3","7"
"Taquara","4321204","-29.650500000000","-50.775300000000","15","12","9","12","18","22","15"
"Taquari","4321303","-29.794300000000","-51.865299999990","4","7","6","5","8","4","5"
"Taquaruçu do Sul","4321329","-27.400400000000","-53.470300000000","-","-","3","1","-","1","1"
"Tavares","4321352","-31.284300000000","-51.088000000000","-","1","-","2","-","1","-"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","2","5","1","1","5","3","3"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","7","6","6","7","9","6","5"
"Teutônia","4321451","-29.448200000000","-51.804400000000","5","4","8","12","7","8","4"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","1","5","5","3","1","3","2"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","-","1","1","2","-","3","1"
"Toropi","4321493","-29.478200000000","-54.224400000000","-","-","1","1","-","-","-"
"Torres","4321501","-29.333400000000","-49.733300000000","8","12","9","9","7","11","6"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","8","8","5","7","10","8","9"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","-","-","2","-","-","-","-"
"Três Arroios","4321634","-27.500299999990","-52.144799999990","1","2","-","-","1","2","-"
"Três Cachoeiras","4321667","-29.448699999990","-49.927500000000","7","7","6","9","4","4","6"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","7","1","2","5","-","3","3"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","6","3","1","8","5","9","4"
"Três Palmeiras","4321857","-27.613900000000","-52.843699999990","1","3","-","3","1","2","2"
"Três Passos","4321907","-27.455500000000","-53.929600000000","1","-","3","5","2","6","2"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","1","-","1","-","1","1","1"
"Triunfo","4322004","-29.929099999990","-51.707500000000","9","16","9","5","5","12","7"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","1","2","1","1","-","1","1"
"Tunas","4322152","-29.103899999990","-52.953800000000","-","-","-","-","1","-","1"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","-","-","-","1","-","-","-"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","3","2","3","3","1","3","2"
"Tupandi","4322251","-29.477200000000","-51.417400000000","-","-","3","-","1","2","-"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","2","1","5","1","2","3","3"
"Turuçu","4322327","-31.417300000000","-52.170600000000","2","1","1","1","1","2","-"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","1","-","-","-","-","-","-"
"Unistalda","4322376","-29.039999999990","-55.151699999990","-","-","-","-","-","2","-"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","18","22","16","14","13","12","15"
"Vacaria","4322509","-28.507899999990","-50.941800000000","13","4","13","13","18","15","16"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","5","4","3","3","1","3","3"
"Vale Real","4322541","-29.391900000000","-51.255899999990","3","1","2","2","5","6","-"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","1","2","-","-","-","1","2"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","21","15","11","17","15","16","13"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","4","6","4","6","6","11","7"
"Veranópolis","4322806","-28.931200000000","-51.551600000000","3","6","3","5","5","9","8"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","-","2","-","1","2","1","-"
"Viadutos","4322905","-27.571600000000","-52.021099999990","1","-","1","-","-","-","-"
"Viamão","4323002","-30.081900000000","-51.019399999990","25","23","26","34","45","37","30"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","-","-","-","1","-","-","-"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","1","1","2","3","-","3","-"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","-","-","-","1","-","1","2"
"Vila Lângaro","4323358","-28.106200000000","-52.143799999990","-","-","1","1","-","-","-"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","-","-","4","3","1","2","3"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","1","-","1","-","-","1","2"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","1","-","1","-","1","1","-"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","-","-","1","1","1","-","-"
"Vista Gaúcha","4323705","-27.290199999990","-53.697400000000","-","-","-","-","-","1","-"
"Vitória das Missões","4323754","-28.351600000000","-54.503999999990","2","1","-","3","3","2","3"
"Westfalia","4323770","-29.374400000000","-51.746299999990","1","1","1","3","2","-","1"
"Xangri-lá","4323804","-29.806500000000","-50.051900000000","3","2","6","5","8","4","1"
